ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,LandSize,Age,Latitude,Longitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average,closest_primary_school,distance_to_closest_primary,primary_school_ranking,closest_secondary_school,distance_to_closest secondary,secondary_school_ranking
ID849994070,9 Lord St,CAULFIELD EAST,620000.0,h,10/12/2016,2,1.0,2.0,0.0,7.0,-37.8852,145.0462,19942,612.5256649251448,29.416666666666668,False,555.6666666666666,1129.0,160.66666666666666,St Anthony's School,204.47708707904826,485,Glen Eira College,722.0397778145353,215
ID784956327,4/16 Hotham Gr,RIPPONLEA,660000.0,u,12/11/2016,2,1.0,0.0,477.0,49.0,-37.8804,144.9969,19955,521.127264781302,19.5,False,703.6666666666666,1502.0,135.66666666666666,Sholem Aleichem College,432.6084108744768,34,Caulfield Grammar School,778.2788456829328,24
ID979965606,4/130 Tennyson St,ELWOOD,1380000.0,h,19/08/2017,3,1.0,2.0,1730.0,18.0,-37.8797,144.99088999999995,19955,569.3717125851341,19.5,False,705.3333333333334,5479.666666666667,335.0,Elwood Primary School,299.38030787243594,309,Elwood College,578.5559666037893,175
ID661552603,6/53 Tennyson St,ELWOOD,500000.0,u,20/05/2017,2,1.0,1.0,0.0,59.0,-37.8777,144.9891,19955,574.9738287453048,19.5,False,705.3333333333334,5479.666666666667,335.0,Elwood Primary School,428.46963825325,309,Elwood College,617.8403321283303,175
ID524480232,5/171 Hotham St,BALACLAVA,490000.0,u,29/04/2017,2,1.0,0.0,601.0,59.0,-37.8757,144.998,19955,243.90131721629893,19.5,False,1245.0,3886.0,447.6666666666667,Ripponlea Primary School,631.6296725399933,247,Caulfield Grammar School,633.2768951918883,24
ID231230283,10/229 Brighton Rd,ELWOOD,526000.0,u,27/11/2016,2,1.0,0.0,0.0,89.0,-37.8809,144.9947,19955,557.8657017085596,19.5,False,1100.6666666666667,3636.3333333333335,457.3333333333333,Elwood Primary School,560.746119011363,309,Elwood College,849.2515129850821,175
ID912287186,3/58 Byron St,ELWOOD,340000.0,u,27/06/2016,1,1.0,1.0,0.0,49.0,-37.8784,144.9864,19955,824.5574115130853,19.5,False,1153.6666666666667,4145.666666666667,406.6666666666667,Elwood Primary School,386.3215462870835,309,Elwood College,448.8580970368723,175
ID597623009,9/63 Ormond Rd,ELWOOD,550000.0,u,6/08/2016,2,1.0,1.0,0.0,59.0,-37.8839,144.9855,19955,1234.3524253143064,19.5,False,1363.6666666666667,6287.666666666667,564.3333333333334,Elwood Primary School,366.59916797454764,309,Elwood College,177.80616134543496,175
ID219098083,48 Sydney St,ALBION,840000.0,h,27/11/2016,3,1.0,0.0,697.0,99.0,-37.7809,144.8228,20004,398.38426616815804,26.375,False,431.3333333333333,971.0,220.66666666666666,St Theresa's School,270.560838214424,393,Sunshine College,1192.8019815745656,233
ID980029013,3 Clairmont St,ALBION,787000.0,h,3/06/2017,3,1.0,3.0,716.0,64.0,-37.77917,144.81407,20004,950.7032563951327,26.375,False,298.0,735.0,154.0,Albion Primary School,514.4414325806666,not ranked,Marian College,1181.6362809315692,not ranked
ID356496718,6 Ridley Av,AVONDALE HEIGHTS,720000.0,h,8/07/2017,3,1.0,1.0,582.0,54.0,-37.76063,144.8603,20004,3660.8711452109137,26.375,False,1064.6666666666667,4200.666666666667,432.6666666666667,St Martin de Porres School,267.39062973057213,not ranked,Braybrook College,2260.853884361118,139
ID746127321,68 Thompson St,AVONDALE HEIGHTS,680000.0,h,6/08/2016,3,1.0,2.0,570.0,49.0,-37.7591,144.8542,20004,3316.9414075885707,26.375,False,244.0,484.6666666666667,61.0,St Martin de Porres School,657.1394059687043,not ranked,Braybrook College,2211.633784819966,139
ID855620031,57 North Rd,AVONDALE HEIGHTS,740000.0,h,28/08/2016,3,1.0,2.0,607.0,59.0,-37.7546,144.857,20004,3829.1406882359465,26.375,True,1153.6666666666667,4145.666666666667,406.6666666666667,St Martin de Porres School,592.4589051744831,not ranked,Essendon Keilor College,1999.9618409816287,460
ID618913317,9 Willow Dr,AVONDALE HEIGHTS,850000.0,h,18/03/2017,3,1.0,2.0,766.0,20.0,-37.7522,144.8518,20004,3703.170013962955,26.375,False,1841.6666666666667,9184.666666666666,533.3333333333334,St Martin de Porres School,1111.0362382548624,not ranked,Essendon Keilor College,2102.191572928579,460
ID494749569,2/86 Phoenix St,SUNSHINE NORTH,315000.0,u,8/10/2016,2,1.0,1.0,14.0,29.0,-37.7756,144.8345,20004,891.7179535106358,26.375,False,610.0,1743.6666666666667,228.0,Sunshine North Primary School,464.5518996565571,not ranked,Braybrook College,1184.5818541721396,139
ID494380905,60 Sydney St,ALBION,720000.0,h,10/12/2016,3,1.0,1.0,706.0,89.0,-37.7801,144.8229,20004,315.26341465755684,26.375,False,925.6666666666666,4701.333333333333,308.6666666666667,St Theresa's School,332.9842159474771,393,Sunshine College,1268.3083513461634,233
ID703982958,13 Maylands St,ALBION,685000.0,h,18/03/2017,3,1.0,1.0,697.0,69.0,-37.7765,144.8175,20004,646.6705259499226,26.375,False,1253.6666666666667,7401.333333333333,484.6666666666667,Albion Primary School,265.22961614356234,not ranked,Marian College,1601.1951070822577,not ranked
ID292446805,16 Hodgson St,KEW,3450000.0,h,26/08/2017,5,2.0,2.0,668.0,13.0,-37.80795,145.01474,19905,1703.135574824886,14.0,False,2494.6666666666665,11307.0,1410.0,Sophia Mundi Steiner School,963.302176349576,not ranked,Sophia Mundi Steiner School,963.302176349576,not ranked
ID543659289,1/4 Hill St,HAWTHORN,665000.0,u,23/04/2016,2,1.0,3.0,0.0,54.0,-37.8183,145.0194,19905,498.70746708407506,14.0,False,1150.6666666666667,7827.0,922.3333333333334,Hawthorn West Primary School,220.85714518775973,125,Melbourne Girls College,646.34322914425,not ranked
ID247312453,61 Molesworth St,KEW,3650000.0,h,22/08/2016,3,2.0,3.0,1353.0,59.0,-37.8006,145.0218,19905,2364.7924536568694,14.0,True,925.6666666666666,4701.333333333333,308.6666666666667,Kew Primary School,1073.7335030138274,356,Sophia Mundi Steiner School,1497.22479929306,not ranked
ID300228098,34 Alfred St,KEW,3065000.0,h,30/07/2016,3,2.0,3.0,773.0,109.0,-37.8107,145.05100000000004,19903,1378.9081412519693,18.0,False,278.0,489.0,65.0,Genazzano FCJ College,462.49434447209165,40,Genazzano FCJ College,462.49434447209165,not ranked
ID868157465,13/44 Burwood Rd,HAWTHORN,627500.0,u,28/08/2016,2,2.0,2.0,0.0,19.0,-37.8213,145.0224,19905,73.15191572540745,14.0,False,3703.6666666666665,18944.0,2039.3333333333333,Hawthorn West Primary School,377.6654238721225,125,Melbourne Girls College,721.8710974532829,not ranked
ID679007143,6 Elswill St,BENTLEIGH EAST,1351000.0,h,20/05/2017,5,2.0,2.0,652.0,19.0,-37.9311,145.0651,19937,2516.339713738827,38.61538461538461,False,959.0,4476.666666666667,324.0,East Bentleigh Primary School,536.5460915150737,not ranked,Bentleigh Secondary College,624.7625969513225,230
ID776946677,17 Wishart St,HAMPTON EAST,952000.0,h,12/11/2016,3,2.0,2.0,246.0,59.0,-37.9356,145.0268,19937,883.5173751606014,38.61538461538461,False,50.333333333333336,112.66666666666667,19.333333333333332,St Agnes' School,1248.9223329108368,not ranked,Our Lady of the Sacred Heart College,1593.8392317549967,not ranked
ID294023256,27 Charming St,HAMPTON EAST,1255000.0,h,13/08/2016,3,2.0,2.0,614.0,59.0,-37.9346,145.0302,19937,574.701054549988,38.61538461538461,True,824.6666666666666,1890.3333333333333,159.33333333333334,Moorabbin Primary School,1166.786321478219,237,Our Lady of the Sacred Heart College,1306.9528761046772,not ranked
ID398091244,2/1 Barbara St,MOORABBIN,605000.0,u,19/11/2016,2,1.0,2.0,180.0,39.0,-37.9363,145.0564,19937,1739.7758931445135,38.61538461538461,False,334.6666666666667,1407.6666666666667,88.33333333333333,St Catherine's School,428.62593528553356,117,Bentleigh Secondary College,1039.253730091583,230
ID352573516,52 Royena Rd,MOORABBIN,890000.0,h,26/07/2016,3,1.0,1.0,698.0,59.0,-37.9369,145.0578,19937,1870.7395998348848,38.61538461538461,False,1002.6666666666666,4068.0,328.3333333333333,Southmoor Primary School,481.7704296477593,26,Bentleigh Secondary College,1076.6862106023182,230
ID490543512,1/514 Bluff Rd,HAMPTON,820000.0,t,27/11/2016,3,2.0,2.0,0.0,69.0,-37.9368,145.0242,19937,1134.0054417437552,38.61538461538461,False,1566.6666666666667,8895.333333333334,491.0,St Agnes' School,1232.4858888020683,not ranked,St Leonard's College,1721.316010854419,43
ID686218788,74 Fromer St,BENTLEIGH,1328000.0,h,10/09/2016,4,2.0,2.0,610.0,79.0,-37.9291,145.0472,19937,1088.8958691511093,38.61538461538461,False,278.0,489.0,65.0,Tucker Road Bentleigh Primary School,414.9743032922159,380,Our Lady of the Sacred Heart College,739.904555682365,not ranked
ID990156129,23 Fiddes St,MOORABBIN,1020000.0,h,3/09/2016,3,1.0,3.0,771.0,59.0,-37.9375,145.0474,19937,999.445754481462,38.61538461538461,False,1202.0,5034.333333333333,333.0,St Catherine's School,426.5451250758702,117,Our Lady of the Sacred Heart College,1465.421320540353,not ranked
ID303650592,15 Biscop Rd,MOORABBIN,1191000.0,h,27/11/2016,2,1.0,2.0,756.0,69.0,-37.94,145.0449,19937,953.1802375276824,38.61538461538461,False,824.6666666666666,1890.3333333333333,159.33333333333334,Moorabbin Primary School,517.7987433044217,237,Our Lady of the Sacred Heart College,1647.8126488066596,not ranked
ID415986572,1/1 Perry St,MOORABBIN,1105000.0,t,30/07/2016,4,2.0,2.0,220.0,4.0,-37.9387,145.0398,19937,553.5150837236044,38.61538461538461,False,824.6666666666666,1890.3333333333333,159.33333333333334,Moorabbin Primary School,370.0455358846294,237,Our Lady of the Sacred Heart College,1444.615803957778,not ranked
ID866731286,3 Alexander St,BOX HILL,1715000.0,h,10/12/2016,3,2.0,2.0,458.0,69.0,-37.8257,145.1216,20042,721.3075174782565,25.514285714285716,False,610.0,1743.6666666666667,228.0,Kingswood College,829.9976929373257,53,Kingswood College,829.9976929373257,106
ID136285571,41 Highview Dr,DONCASTER,1310000.0,h,13/08/2016,3,1.0,2.0,1157.0,59.0,-37.7934,145.1336,20042,3067.2441726784546,25.514285714285716,False,1153.6666666666667,4145.666666666667,406.6666666666667,Doncaster Primary School,811.4552734428789,214,Doncaster Secondary College,1056.977507161036,225
ID437444090,394 Manningham Rd,DONCASTER,1202000.0,h,27/11/2016,3,2.0,2.0,649.0,54.0,-37.7794,145.1224,20042,4433.653870886728,25.514285714285716,False,958.6666666666666,5673.0,628.0,St Gregory the Great School,133.7613842499004,174,Templestowe College,1332.7139832539092,307
ID187560996,14 Morris St,DONCASTER,1955000.0,h,29/04/2017,4,2.0,2.0,1033.0,54.0,-37.7929,145.1184,20042,2942.135498675286,25.514285714285716,False,705.3333333333334,5479.666666666667,335.0,Birralee Primary School,448.1290577806321,71,Koonung Secondary College,1036.7657709504515,94
ID308261176,741 Elgar Rd,DONCASTER,1391000.0,h,23/04/2016,3,1.0,1.0,764.0,54.0,-37.7934,145.1207,20042,2875.106520567007,25.514285714285716,True,584.3333333333334,2731.6666666666665,211.66666666666666,Birralee Primary School,646.7262845341271,71,Koonung Secondary College,1016.6874055363564,94
ID252353201,9 Gilmore Rd,DONCASTER,1275000.0,h,12/11/2016,3,1.0,1.0,720.0,59.0,-37.79,145.1309,20042,3357.834690291468,25.514285714285716,False,824.6666666666666,1890.3333333333333,159.33333333333334,Doncaster Primary School,371.78379126073366,214,Doncaster Secondary College,871.7018669520302,225
ID298513153,6 Kennedy St,RICHMOND,1365000.0,h,17/09/2016,3,1.0,1.0,301.0,84.0,-37.8134,145.0055,19977,1191.0717144111293,10.133333333333333,True,271.6666666666667,771.6666666666666,74.0,Yarra Primary School,222.26708342349116,475,Lynall Hall Community School,445.70704009177695,559
ID199098516,43 Type St,RICHMOND,1270000.0,h,27/11/2016,3,1.0,1.0,152.0,109.0,-37.8219,145.0096,19906,655.2309194494934,11.947368421052632,False,1071.3333333333333,5783.666666666667,419.6666666666667,Trinity Catholic School,683.7219938640528,not ranked,Melbourne Girls College,421.7152273524368,not ranked
ID264990419,31 Raleigh St,WINDSOR,1350000.0,h,28/08/2016,2,1.0,1.0,157.0,119.0,-37.8522,144.986,19958,451.89583877874907,13.5,False,1100.6666666666667,3636.3333333333335,457.3333333333333,Wesley College,505.5735426591825,202,Prahran High School,447.60157113533353,not ranked
ID522614228,4/38 Porter St,PRAHRAN,570000.0,u,20/05/2017,2,1.0,1.0,479.0,54.0,-37.8489,144.9903,19958,78.97058292706053,13.5,True,591.6666666666666,1189.6666666666667,177.33333333333334,Wesley College,716.951030997427,202,Prahran High School,363.48282881040126,not ranked
ID625179071,7/72 Williams Rd,PRAHRAN,550000.0,u,13/05/2017,2,1.0,1.0,72.0,43.0,-37.8542,145.0024,19957,934.0489835352618,15.5,False,959.0,4476.666666666667,324.0,Our Lady of Lourdes School,649.9078925540795,67,Christian Brothers' College St Kilda,745.4788533193521,not ranked
ID677098407,105 Kerferd Rd,ALBERT PARK,1275000.0,h,3/09/2016,2,1.0,0.0,120.0,119.0,-37.8459,144.9555,19958,3047.010360959378,13.5,False,1654.0,9119.666666666666,550.0,Middle Park Primary School,275.95956572437495,242,Albert Park College,725.8289523399179,131
ID548012865,69 Greville St,PRAHRAN,2668000.0,h,26/08/2017,4,2.0,2.0,383.0,9.0,-37.84879,144.98882,19958,122.19475118520576,13.5,False,1471.0,7759.666666666667,779.6666666666666,Wesley College,586.8346897396269,202,Prahran High School,419.5465712152435,not ranked
ID787617602,8/67 High St,PRAHRAN,700000.0,u,12/11/2016,2,1.0,1.0,0.0,131.0,-37.851,144.988,19958,232.21707737420846,13.5,False,71.0,261.0,20.0,Wesley College,568.5945523353317,202,Prahran High School,298.23560024445715,not ranked
ID710292576,86 Mills St,ALBERT PARK,2000000.0,h,16/04/2016,3,2.0,1.0,211.0,119.0,-37.847,144.9575,19958,2858.2283262740566,13.5,True,703.6666666666666,1502.0,135.66666666666666,Middle Park Primary School,89.39385449195723,242,Albert Park College,924.3505318363514,131
ID969529300,24 Kerferd Pl,ALBERT PARK,1800000.0,h,10/09/2016,3,2.0,1.0,90.0,119.0,-37.8421,144.9571,22238,2787.149980164117,3.5,False,1150.6666666666667,7827.0,922.3333333333334,Albert Park Primary School,381.75010537034734,306,Albert Park College,906.8815126806112,131
ID862467768,27 Andrew St,WINDSOR,865000.0,h,12/08/2017,2,2.0,0.0,70.0,49.0,-37.85143,144.98574,19958,420.01958467323436,13.5,False,1064.6666666666667,4200.666666666667,432.6666666666667,Wesley College,428.5719665979299,202,Wesley College,428.5719665979299,108
ID789554205,5 Birch Sq,RICHMOND,1350000.0,h,27/11/2016,3,2.0,2.0,133.0,19.0,-37.8183,145.0079,19906,1031.266308242392,11.947368421052632,False,824.6666666666666,1890.3333333333333,159.33333333333334,Trinity Catholic School,274.14869443255134,not ranked,Richmond High School,458.993407263765,not ranked
ID173573236,29a Abinger St,RICHMOND,1185000.0,h,30/07/2016,3,2.0,1.0,135.0,6.0,-37.8202,145.0013,19906,986.8098926383652,11.947368421052632,False,703.6666666666666,1502.0,135.66666666666666,Trinity Catholic School,779.0986056349942,not ranked,Richmond High School,337.76666264321443,not ranked
ID572364870,28 Newry St,RICHMOND,1280000.0,h,27/05/2017,3,1.0,1.0,185.0,69.0,-37.82488,145.00642,19906,314.60608630055253,11.947368421052632,False,2494.6666666666665,11307.0,1410.0,Richmond Primary School,830.4869217689098,260,Melbourne Girls College,744.3247272219992,not ranked
ID870160102,2/50 Gibdon St,BURNLEY,1100000.0,h,17/06/2017,3,2.0,2.0,1212.0,9.0,-37.82982,145.01038,19906,353.50665970842795,11.947368421052632,False,663.0,4010.0,377.0,Richmond Primary School,994.4957437997914,260,Melbourne Girls College,885.1923908059973,not ranked
ID282839136,13 Valencia St,ABERFELDIE,1650000.0,h,16/09/2017,4,2.0,1.0,484.0,69.0,-37.7609,144.89886,22253,1619.9517255217781,18.333333333333332,False,298.0,735.0,154.0,Our Lady of the Nativity School,545.0696048092528,373,Ave Maria College,483.13824103768525,111
ID312915805,16/51 Buckley St,MOONEE PONDS,265000.0,u,19/11/2016,1,1.0,1.0,0.0,49.0,-37.758,144.9237,22253,696.3956253555746,18.333333333333332,False,1363.6666666666667,6287.666666666667,564.3333333333334,St Monica's Primary School,190.82510396763496,484,Lowther Hall Anglican Grammar School,796.7756771354052,not ranked
ID600854260,1A Aberfeldie St,ABERFELDIE,1195000.0,h,9/09/2017,3,2.0,2.0,381.0,113.0,-37.75629,144.90626,22253,875.1475189706676,18.333333333333332,False,885.0,1901.0,227.66666666666666,Resurrection House,101.85034945651218,329,St Columba's College,713.9688869467166,85
ID440766598,2/16 Braemar St,ESSENDON,520000.0,u,15/10/2016,2,1.0,2.0,0.0,44.0,-37.7486,144.9072,22253,1143.6028917661974,18.333333333333332,False,703.6666666666666,1502.0,135.66666666666666,St Therese's School,391.1676667873193,387,Buckley Park College,847.5792618699497,123
ID531338311,53 Clydebank Rd,ESSENDON WEST,1115000.0,h,30/07/2016,3,1.0,1.0,688.0,69.0,-37.7577,144.8892,22253,2383.4472296252547,18.333333333333332,False,555.6666666666666,1129.0,160.66666666666666,Aberfeldie Primary School,508.77571859236093,227,Ave Maria College,780.6562406438854,111
ID739393415,2 Derry St,ABERFELDIE,1740000.0,h,29/04/2017,4,2.0,2.0,746.0,69.0,-37.7595,144.8993,22253,1536.9766185422943,18.333333333333332,False,3767.6666666666665,18925.0,2042.3333333333333,Our Lady of the Nativity School,424.7943434812493,373,Ave Maria College,341.68330092054407,111
ID323908450,65 Napier St,ESSENDON,1467000.0,h,7/11/2016,3,2.0,2.0,188.0,119.0,-37.7532,144.9178,22253,343.2994663239911,18.333333333333332,False,579.3333333333334,1758.3333333333333,160.33333333333334,Essendon Primary School,285.5791437259728,133,St Columba's College,542.1191279360833,85
ID853907518,64 Muriel St,NIDDRIE,1006000.0,h,22/07/2017,4,2.0,1.0,270.0,11.0,-37.74266,144.88577,22253,3062.9392246782504,18.333333333333332,False,684.0,1695.6666666666667,161.0,St John Bosco's School,307.51246193409884,not ranked,Rosehill Secondary College,448.8580209549257,239
ID469388602,22 Emerald St,ESSENDON WEST,1345000.0,h,10/12/2016,4,2.0,2.0,740.0,69.0,-37.7517,144.8873,22253,2588.2385344169184,18.333333333333332,False,271.6666666666667,771.6666666666666,74.0,Aberfeldie Primary School,846.629413219009,227,St Bernard's College,442.9826581232121,130
ID516585499,15 Craig St,KEILOR EAST,880000.0,h,10/12/2016,3,1.0,2.0,584.0,39.0,-37.7435,144.8798,22253,3493.2752659460334,18.333333333333332,False,1381.0,4300.0,432.0,St John Bosco's School,812.4818346393307,not ranked,Rosehill Secondary College,664.007603688918,239
ID157866724,2/49 Quinn Gr,KEILOR EAST,560000.0,u,14/05/2016,3,1.0,2.0,352.0,19.0,-37.7459,144.8673,22253,4448.529235330838,18.333333333333332,False,1002.6666666666666,4068.0,328.3333333333333,St Peter's School,718.0708148345681,345,Essendon Keilor College,721.2101724190047,460
ID541490896,31 Elder Pde,ESSENDON,1500000.0,h,28/05/2016,3,2.0,3.0,440.0,89.0,-37.7524,144.9074,22253,872.4453190582228,18.333333333333332,False,2744.3333333333335,10289.666666666666,780.0,St Therese's School,293.50170261480173,387,St Columba's College,808.3678473133771,85
ID342689245,2/67 Nimmo St,ESSENDON,645000.0,u,27/06/2016,2,1.0,1.0,170.0,25.0,-37.7475,144.8959,22253,2022.1995837179518,18.333333333333332,False,1202.0,5034.333333333333,333.0,St John Bosco's School,740.8768910297815,not ranked,Buckley Park College,168.75246130667628,123
ID901767650,227 Wood St,PRESTON,1010000.0,h,22/04/2017,3,1.0,2.0,486.0,79.0,-37.7341,145.0096,20011,873.7913285303723,31.11111111111111,True,1214.6666666666667,5603.666666666667,375.3333333333333,Preston Primary School,400.3086235815383,250,Preston High School,891.0245132495397,not ranked
ID124137524,42 Tyler St,PRESTON,725000.0,h,3/06/2017,3,1.0,2.0,590.0,69.0,-37.73314,145.03437,20011,2831.383318463875,31.11111111111111,False,1173.6666666666667,8523.666666666666,974.6666666666666,East Preston Islamic College,186.2620493030369,not ranked,East Preston Islamic College,186.2620493030369,491
ID183462877,129 Albert St,PRESTON,850000.0,h,3/06/2017,3,1.0,2.0,485.0,139.0,-37.7383,145.02348999999995,20012,2022.3257979293314,28.11111111111111,False,941.3333333333334,5813.0,575.6666666666666,Preston North East Primary School,785.516601404604,not ranked,Northern College of the Arts and Technology,257.34201636208934,not ranked
ID945116782,106 Malpas St,PRESTON,880000.0,h,16/09/2017,3,1.0,0.0,480.0,129.0,-37.73346,145.01506,20011,1219.4996449877458,31.11111111111111,False,288.0,712.0,75.66666666666667,Holy Name School,471.7186609813913,463,Northern College of the Arts and Technology,1168.4780787631441,not ranked
ID997040849,76 Powell St,RESERVOIR,857700.0,h,3/06/2017,3,1.0,1.0,325.0,89.0,-37.72589,144.99681,20011,594.8394823676292,31.11111111111111,True,647.0,2861.3333333333335,222.66666666666666,Reservoir West Primary School,714.4766910506434,not ranked,Preston High School,1945.5618329977494,not ranked
ID605089260,2 Kerang Av,RESERVOIR,760000.0,h,8/07/2017,3,1.0,1.0,606.0,69.0,-37.72057,145.02615,20010,1735.7794654781183,34.111111111111114,False,98.66666666666667,190.66666666666666,19.0,Reservoir East Primary School,385.50339295004585,not ranked,Reservoir High School,370.2168425705192,346
ID422913015,657 Gilbert Rd,RESERVOIR,777000.0,h,27/11/2016,3,1.0,2.0,480.0,59.0,-37.7265,144.9918,20011,989.016316499172,31.11111111111111,False,71.0,261.0,20.0,Reservoir West Primary School,505.20417324369646,not ranked,Preston High School,2117.4584949079635,not ranked
ID919957896,40 Powell St,RESERVOIR,832000.0,h,27/11/2016,3,1.0,2.0,496.0,84.0,-37.7263,145.0003,20011,319.65883826111053,31.11111111111111,True,2489.6666666666665,11817.333333333334,1268.6666666666667,Preston Primary School,1000.158784184328,250,Preston High School,1790.9123069707032,not ranked
ID424974668,15 George St,RESERVOIR,800000.0,h,8/10/2016,3,1.0,2.0,570.0,69.0,-37.718,144.9999,20010,637.0397531826839,34.111111111111114,False,1683.6666666666667,8938.666666666666,509.3333333333333,St Gabriel's School,459.7416247729497,not ranked,William Ruthven Secondary College,2388.288856657257,not ranked
ID667495033,34 Drysdale St,RESERVOIR,635000.0,h,10/12/2016,2,1.0,1.0,608.0,54.0,-37.7293,145.0224,20011,1730.9311654680582,31.11111111111111,True,610.0,1743.6666666666667,228.0,Holy Name School,353.42478990497176,463,Reservoir High School,1017.6522331554536,346
ID291555049,197 Albert St,RESERVOIR,365000.0,h,7/05/2016,2,1.0,1.0,360.0,59.0,-37.7273,145.0254,20010,1992.5267898777693,34.111111111111114,False,703.6666666666666,1502.0,135.66666666666666,Holy Name School,685.432285948035,463,Reservoir High School,680.492161470751,346
ID902645057,2/6 Devon Rd,PASCOE VALE,590000.0,t,15/10/2016,3,2.0,2.0,191.0,19.0,-37.7223,144.9315,20034,985.2279716676129,31.0,False,555.6666666666666,1129.0,160.66666666666666,Westbreen Primary School,754.9863927370587,321,Pascoe Vale Girls Secondary College,633.9785801714913,not ranked
ID277868274,7 Brisbane St,STRATHMORE,810000.0,h,23/09/2017,3,1.0,3.0,492.0,69.0,-37.73084,144.92238,20034,512.093643213797,31.0,False,1253.6666666666667,7401.333333333333,484.6666666666667,Strathmore Primary School,703.1915442022363,265,Strathmore Secondary College,776.8205293831143,133
ID589360403,68 Bournian Av,STRATHMORE,1625000.0,h,23/09/2017,4,3.0,2.0,224.0,69.0,-37.73545,144.92164,20034,778.5405640071031,31.0,False,2494.6666666666665,11307.0,1410.0,Strathmore Primary School,408.1864639689267,265,Strathmore Secondary College,471.02193564753554,133
ID437031456,906/700 Chapel St,SOUTH YARRA,666000.0,u,15/07/2017,2,1.0,1.0,0.0,14.0,-37.83613,144.99661,19959,455.4449654842782,12.62962962962963,False,2532.3333333333335,5455.0,713.0,Richmond Primary School,761.7818125449948,260,Melbourne High School,137.97146242384264,2
